"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,100,8,0,0,131,0,102,2,0,4,131,102,203,B
0,71,1,0,0,72,0,68,5,0,4,112,68,118,B
0,124,6,0,1,157,0,167,7,0,5,176,142,251,B
0,16,0,0,0,11,0,15,0,0,2,30,10,38,B
0,46,0,0,0,18,0,29,5,0,5,65,50,73,B
0,6,0,0,0,1,0,5,3,0,7,20,7,20,B
0,55,0,0,0,23,0,24,5,0,1,62,50,92,B
0,10,1,0,15,8,1,4,0,0,10,4,7,34,B
0,2,0,1,0,3,0,0,0,0,0,4,5,4,B
0,4,0,0,0,3,0,3,2,1,9,7,2,15,B
0,10,0,0,0,9,0,8,0,0,0,17,12,8,B
0,23,0,0,0,14,0,24,1,0,13,23,24,57,B
0,29,20,1,0,43,0,19,1,0,6,52,8,79,B
8,3,0,0,0,6,0,1,0,0,1,31,2,23,B
0,21,19,6,0,108,1,18,1,0,28,61,3,100,B
0,3,3,1,0,22,0,2,0,0,0,2,13,3,B
0,125,56,1,2,101,7,118,1,9,11,231,137,542,B
0,13,100,1,0,35,6,68,4,0,2,57,30,202,B
0,11,0,0,0,7,0,4,0,0,0,3,8,14,B
0,1,0,0,0,2,0,1,0,0,0,1,0,1,B
0,2,0,0,0,11,0,4,0,0,0,11,5,10,B
0,9,0,0,0,17,0,11,0,0,0,34,12,35,B
0,7,8,0,0,13,0,11,0,0,0,26,10,24,B
0,33,36,0,0,71,0,26,3,0,12,80,34,88,B
0,4,0,0,0,11,0,8,0,0,1,15,7,17,B
0,2,0,0,0,8,0,1,0,0,0,71,0,1,B
0,3,0,0,0,13,0,7,0,0,0,15,7,17,B
0,5,0,0,0,12,0,13,0,0,1,19,8,30,B
0,2,0,0,0,8,0,1,0,0,0,15,7,7,B
0,29,0,0,0,43,0,48,2,0,1,65,37,137,B
2,28,0,0,0,34,0,42,11,0,5,78,32,95,B
0,23,0,0,0,30,0,36,11,0,4,74,30,80,B
0,25,0,0,0,33,0,37,9,0,7,65,21,89,B
0,1,0,0,0,10,0,0,0,0,0,10,3,12,B
0,3,0,0,0,11,0,11,0,0,5,15,11,10,B
0,5,0,0,0,13,0,4,0,0,4,20,8,23,B
0,2,1,0,0,14,0,12,0,0,2,10,5,20,B
0,13,0,0,0,14,0,21,0,0,0,23,13,47,B
0,5,0,0,0,13,0,6,0,0,0,18,5,21,B
0,1,0,0,0,4,0,0,0,0,0,6,3,6,B
0,8,0,0,0,10,0,12,1,0,0,11,5,39,B
0,5,0,0,0,6,0,2,5,0,1,8,4,18,B
0,10,0,0,0,26,0,18,2,0,6,63,14,77,B
0,1,0,0,0,8,0,1,1,0,3,10,1,3,B
1,8,1,0,0,14,0,14,0,0,5,27,6,51,B
0,20,0,0,0,38,0,46,0,0,10,81,28,83,B
0,1,0,0,0,9,0,5,0,0,1,30,3,11,B
1,49,8,0,0,25,0,26,0,0,1,51,19,87,B
0,6,0,0,0,8,0,6,0,0,4,28,7,14,B
0,1,0,0,0,4,0,2,1,0,2,4,3,5,B
0,1,0,0,0,5,0,0,1,0,0,12,4,9,B
0,4,0,0,0,6,0,3,0,0,0,6,3,10,B
3,3,0,0,0,6,0,2,5,0,6,19,4,14,B
0,11,3,0,0,20,0,15,0,0,1,37,21,36,B
0,11,1,0,0,8,0,16,2,0,1,23,11,39,B
