"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,2,0,0,0,0,0,1,0,0,0,1,5,2,E
0,3,0,0,0,0,0,2,0,0,0,3,3,4,E
0,7,0,0,0,0,0,4,0,0,0,5,4,9,E
0,2,0,0,0,0,0,1,0,0,0,2,3,2,E
1,1,0,0,0,2,0,0,0,0,4,3,5,3,E
1,27,0,0,0,12,0,17,0,0,0,27,0,73,E
0,1,0,0,0,0,0,0,0,0,0,0,1,1,E
0,1,0,0,0,0,0,0,0,0,0,0,1,1,E
0,1,0,0,0,0,0,0,0,0,0,0,1,1,E
0,1,0,0,0,0,0,0,0,0,0,0,1,0,E
0,1,0,0,0,0,0,0,0,0,0,0,1,2,E
0,1,0,0,0,0,0,0,0,0,0,0,1,1,E
0,2,0,0,0,0,0,1,0,0,0,0,1,0,E
0,1,0,0,0,0,0,0,0,0,0,0,1,1,E
